ID,name,confidence,x_min,y_min,x_max,y_max
1,apple,0.593478918,655.1359253,846.8022461,794.0830688,986.8093262
2,apple,0.44801414,323.6792603,675.1324463,388.0855103,795.5488281
3,apple,0.401158333,274.8013611,636.3405151,382.2115784,774.0346069
4,apple,0.360422552,994.9389038,666.4991455,1142.079956,800.4344482
5,apple,0.317703217,385.6383362,756.3066406,458.4951477,928.0189209
6,apple,0.593478918,655.1359253,846.8022461,794.0830688,986.8093262
7,apple,0.44801414,323.6792603,675.1324463,388.0855103,795.5488281
8,apple,0.401158333,274.8013611,636.3405151,382.2115784,774.0346069
9,apple,0.360422552,994.9389038,666.4991455,1142.079956,800.4344482
10,apple,0.317703217,385.6383362,756.3066406,458.4951477,928.0189209
11,apple,0.593478918,655.1359253,846.8022461,794.0830688,986.8093262
12,apple,0.44801414,323.6792603,675.1324463,388.0855103,795.5488281
13,apple,0.401158333,274.8013611,636.3405151,382.2115784,774.0346069
14,apple,0.360422552,994.9389038,666.4991455,1142.079956,800.4344482
15,apple,0.317703217,385.6383362,756.3066406,458.4951477,928.0189209
16,apple,0.593478918,655.1359253,846.8022461,794.0830688,986.8093262
17,apple,0.44801414,323.6792603,675.1324463,388.0855103,795.5488281
18,apple,0.401158333,274.8013611,636.3405151,382.2115784,774.0346069
19,apple,0.360422552,994.9389038,666.4991455,1142.079956,800.4344482
20,apple,0.317703217,385.6383362,756.3066406,458.4951477,928.0189209
21,apple,0.740422249,164.3734589,222.5827332,217.8313141,268.7714233
22,apple,0.593478918,655.1359253,846.8022461,794.0830688,986.8093262
23,apple,0.44801414,323.6792603,675.1324463,388.0855103,795.5488281
24,apple,0.401158333,274.8013611,636.3405151,382.2115784,774.0346069
25,apple,0.360422552,994.9389038,666.4991455,1142.079956,800.4344482
26,apple,0.317703217,385.6383362,756.3066406,458.4951477,928.0189209
27,banana,0.810187399,18.34539032,1023.145569,111.5396652,1197.217773
28,banana,0.810187399,18.34539032,1023.145569,111.5396652,1197.217773
29,banana,0.433915436,754.2634277,668.3413086,955.1420898,1114.052734
30,banana,0.810187399,18.34539032,1023.145569,111.5396652,1197.217773
31,banana,0.29153657,369.6246948,971.4456177,480.0517578,1161.541992
32,banana,0.321508408,833.8380737,428.3164978,923.3379517,526.9418945
33,banana,0.29153657,369.6246948,971.4456177,480.0517578,1161.541992
34,banana,0.321508408,833.8380737,428.3164978,923.3379517,526.9418945
35,banana,0.321508408,833.8380737,428.3164978,923.3379517,526.9418945
36,banana,0.321508408,833.8380737,428.3164978,923.3379517,526.9418945
37,banana,0.321508408,833.8380737,428.3164978,923.3379517,526.9418945
38,banana,0.394988179,411.2414856,714.8622437,610.6665039,812.7927856
39,banana,0.290594667,592.5950928,791.9216309,635.6781616,824.5483398
40,banana,0.394988179,411.2414856,714.8622437,610.6665039,812.7927856
41,banana,0.290594667,592.5950928,791.9216309,635.6781616,824.5483398
42,banana,0.321508408,833.8380737,428.3164978,923.3379517,526.9418945
43,banana,0.394988179,411.2414856,714.8622437,610.6665039,812.7927856
44,banana,0.290594667,592.5950928,791.9216309,635.6781616,824.5483398
45,banana,0.321508408,833.8380737,428.3164978,923.3379517,526.9418945
46,banana,0.394988179,411.2414856,714.8622437,610.6665039,812.7927856
47,banana,0.290594667,592.5950928,791.9216309,635.6781616,824.5483398
48,banana,0.394988179,411.2414856,714.8622437,610.6665039,812.7927856
49,banana,0.290594667,592.5950928,791.9216309,635.6781616,824.5483398
50,book,0.575717032,254.1814728,912.3261719,782.5294189,1020.054077
51,book,0.482332647,365.5000305,378.5483704,844.7156372,1174.012329
52,book,0.575717032,254.1814728,912.3261719,782.5294189,1020.054077
53,book,0.482332647,365.5000305,378.5483704,844.7156372,1174.012329
54,book,0.575717032,254.1814728,912.3261719,782.5294189,1020.054077
55,book,0.575717032,254.1814728,912.3261719,782.5294189,1020.054077
56,book,0.575717032,254.1814728,912.3261719,782.5294189,1020.054077
57,book,0.575717032,254.1814728,912.3261719,782.5294189,1020.054077
58,book,0.575717032,254.1814728,912.3261719,782.5294189,1020.054077
59,book,0.482332647,365.5000305,378.5483704,844.7156372,1174.012329
60,book,0.575717032,254.1814728,912.3261719,782.5294189,1020.054077
61,book,0.575717032,254.1814728,912.3261719,782.5294189,1020.054077
62,book,0.686838806,677.3569946,193.6552124,901.2484741,1236.047607
63,book,0.422487378,352.2948914,137.5494385,700.4165039,1256.707031
64,book,0.500795364,277.9167175,87.62646484,654.7813721,1195.686401
65,book,0.336661011,633.1341553,187.4378357,962.8743896,1184.869019
66,book,0.257414281,48.6083107,34.47952652,786.6495972,982.758667
67,book,0.575717032,254.1814728,912.3261719,782.5294189,1020.054077
68,book,0.575717032,254.1814728,912.3261719,782.5294189,1020.054077
69,book,0.482332647,365.5000305,378.5483704,844.7156372,1174.012329
70,book,0.575717032,254.1814728,912.3261719,782.5294189,1020.054077
71,book,0.575717032,254.1814728,912.3261719,782.5294189,1020.054077
72,book,0.500795364,277.9167175,87.62646484,654.7813721,1195.686401
73,book,0.336661011,633.1341553,187.4378357,962.8743896,1184.869019
74,book,0.257414281,48.6083107,34.47952652,786.6495972,982.758667
75,book,0.575717032,254.1814728,912.3261719,782.5294189,1020.054077
76,bottle,0.332960725,320.581604,224.7954407,637.5280151,1200.781372
77,bottle,0.442316711,627.0699463,268.4395752,945.9523926,1198.739502
78,bottle,0.552929997,538.359375,306.5406799,790.3650513,858.1943359
79,bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
80,bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
81,bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
82,bottle,0.434454918,160.3010101,0,351.0075073,496.1281433
83,bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
84,bottle,0.428630322,456.905365,198.558548,682.0927124,743.7035522
85,bottle,0.335329711,178.5396271,239.6474152,373.3936462,718.3513184
86,bottle,0.501195967,657.1534424,313.0819702,952.0588379,1231.496094
87,bottle,0.355326921,446.1914063,312.0218506,628.322998,1193.137085
88,bottle,0.265085548,133.3917999,241.6546631,556.5010986,1177.076904
89,bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
90,bottle,0.332960725,320.581604,224.7954407,637.5280151,1200.781372
91,bottle,0.442316711,627.0699463,268.4395752,945.9523926,1198.739502
92,bottle,0.552929997,538.359375,306.5406799,790.3650513,858.1943359
93,bottle,0.25112617,668.3720703,35.92297363,1169.408447,1266.350098
94,bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
95,bottle,0.434454918,160.3010101,0,351.0075073,496.1281433
96,bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
97,bottle,0.434454918,160.3010101,0,351.0075073,496.1281433
98,bottle,0.25112617,668.3720703,35.92297363,1169.408447,1266.350098
99,bottle,0.428630322,456.905365,198.558548,682.0927124,743.7035522
100,bottle,0.335329711,178.5396271,239.6474152,373.3936462,718.3513184
101,bottle,0.501195967,657.1534424,313.0819702,952.0588379,1231.496094
102,bottle,0.355326921,446.1914063,312.0218506,628.322998,1193.137085
103,bottle,0.265085548,133.3917999,241.6546631,556.5010986,1177.076904
104,bottle,0.332960725,320.581604,224.7954407,637.5280151,1200.781372
105,bottle,0.442316711,627.0699463,268.4395752,945.9523926,1198.739502
106,bottle,0.552929997,538.359375,306.5406799,790.3650513,858.1943359
107,bottle,0.25112617,668.3720703,35.92297363,1169.408447,1266.350098
108,bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
109,bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
110,bottle,0.410453767,143.2461548,27.1251297,406.1999512,782.4179077
111,bottle,0.428630322,456.905365,198.558548,682.0927124,743.7035522
112,bottle,0.335329711,178.5396271,239.6474152,373.3936462,718.3513184
113,bottle,0.388069272,109.2909851,11.31863499,302.6216736,600
114,bottle,0.840289712,237.1968079,147.6005859,374.9671326,557.0776367
115,bottle,0.501195967,657.1534424,313.0819702,952.0588379,1231.496094
116,bottle,0.355326921,446.1914063,312.0218506,628.322998,1193.137085
117,bottle,0.253530264,200.0368042,168.7416382,291.1987,370.8277588
118,bottle,0.703980327,103.4815903,86.27658844,219.1255798,282.1932983
119,bottle,0.642986774,236.6076508,132.2687988,274.6091003,263.3865051
120,bottle,0.582703531,208.6923218,117.7387924,249.5692139,273.3894043
121,bottle,0.52017045,262.9370117,143.5296631,302.1853027,257.1151123
122,bottle,0.345347792,42.37898254,33.47619629,413.8602295,781.5522461
123,bottle,0.25112617,668.3720703,35.92297363,1169.408447,1266.350098
124,bottle,0.434454918,160.3010101,0,351.0075073,496.1281433
125,bottle,0.421528101,565.4318237,156.8905029,929.4454956,1261.609131
126,bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
127,bottle,0.25112617,668.3720703,35.92297363,1169.408447,1266.350098
128,bottle,0.703980327,103.4815903,86.27658844,219.1255798,282.1932983
129,bottle,0.642986774,236.6076508,132.2687988,274.6091003,263.3865051
130,bottle,0.582703531,208.6923218,117.7387924,249.5692139,273.3894043
131,bottle,0.52017045,262.9370117,143.5296631,302.1853027,257.1151123
132,bottle,0.332960725,320.581604,224.7954407,637.5280151,1200.781372
133,bottle,0.442316711,627.0699463,268.4395752,945.9523926,1198.739502
134,bottle,0.552929997,538.359375,306.5406799,790.3650513,858.1943359
135,bottle,0.25112617,668.3720703,35.92297363,1169.408447,1266.350098
136,bottle,0.703980327,103.4815903,86.27658844,219.1255798,282.1932983
137,bottle,0.642986774,236.6076508,132.2687988,274.6091003,263.3865051
138,bottle,0.582703531,208.6923218,117.7387924,249.5692139,273.3894043
139,bottle,0.52017045,262.9370117,143.5296631,302.1853027,257.1151123
140,bottle,0.332960725,320.581604,224.7954407,637.5280151,1200.781372
141,bottle,0.442316711,627.0699463,268.4395752,945.9523926,1198.739502
142,bottle,0.552929997,538.359375,306.5406799,790.3650513,858.1943359
143,bottle,0.434454918,160.3010101,0,351.0075073,496.1281433
144,bottle,0.421528101,565.4318237,156.8905029,929.4454956,1261.609131
145,bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
146,bottle,0.703980327,103.4815903,86.27658844,219.1255798,282.1932983
147,bottle,0.642986774,236.6076508,132.2687988,274.6091003,263.3865051
148,bottle,0.582703531,208.6923218,117.7387924,249.5692139,273.3894043
149,bottle,0.52017045,262.9370117,143.5296631,302.1853027,257.1151123
150,bottle,0.332960725,320.581604,224.7954407,637.5280151,1200.781372
151,bottle,0.442316711,627.0699463,268.4395752,945.9523926,1198.739502
152,bottle,0.552929997,538.359375,306.5406799,790.3650513,858.1943359
153,bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
154,bottle,0.428630322,456.905365,198.558548,682.0927124,743.7035522
155,bottle,0.335329711,178.5396271,239.6474152,373.3936462,718.3513184
156,bottle,0.501195967,657.1534424,313.0819702,952.0588379,1231.496094
157,bottle,0.355326921,446.1914063,312.0218506,628.322998,1193.137085
158,bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
159,bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
160,bottle,0.332960725,320.581604,224.7954407,637.5280151,1200.781372
161,bottle,0.442316711,627.0699463,268.4395752,945.9523926,1198.739502
162,bottle,0.552929997,538.359375,306.5406799,790.3650513,858.1943359
163,bottle,0.434454918,160.3010101,0,351.0075073,496.1281433
164,bottle,0.421528101,565.4318237,156.8905029,929.4454956,1261.609131
165,bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
166,bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
167,bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
168,bottle,0.410453767,143.2461548,27.1251297,406.1999512,782.4179077
169,bottle,0.428630322,456.905365,198.558548,682.0927124,743.7035522
170,bottle,0.335329711,178.5396271,239.6474152,373.3936462,718.3513184
171,bottle,0.501195967,657.1534424,313.0819702,952.0588379,1231.496094
172,bottle,0.355326921,446.1914063,312.0218506,628.322998,1193.137085
173,bottle,0.691131711,437.2218323,150.1593628,629.9091187,767.8522949
174,bottle,0.804045916,648.3727417,458.7698669,882.5861206,1030.527466
175,bottle,0.549834669,464.5031738,464.3956909,652.9655762,979.2041626
176,bottle,0.428630322,456.905365,198.558548,682.0927124,743.7035522
177,bottle,0.335329711,178.5396271,239.6474152,373.3936462,718.3513184
178,bottle,0.703980327,103.4815903,86.27658844,219.1255798,282.1932983
179,bottle,0.642986774,236.6076508,132.2687988,274.6091003,263.3865051
180,bottle,0.582703531,208.6923218,117.7387924,249.5692139,273.3894043
181,bottle,0.52017045,262.9370117,143.5296631,302.1853027,257.1151123
182,bottle,0.332960725,320.581604,224.7954407,637.5280151,1200.781372
183,bottle,0.442316711,627.0699463,268.4395752,945.9523926,1198.739502
184,bottle,0.552929997,538.359375,306.5406799,790.3650513,858.1943359
185,bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
186,bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
187,bottle,0.434454918,160.3010101,0,351.0075073,496.1281433
188,bottle,0.421528101,565.4318237,156.8905029,929.4454956,1261.609131
189,bottle,0.421528101,565.4318237,156.8905029,929.4454956,1261.609131
190,bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
191,bottle,0.410453767,143.2461548,27.1251297,406.1999512,782.4179077
192,bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
193,bottle,0.703980327,103.4815903,86.27658844,219.1255798,282.1932983
194,bottle,0.642986774,236.6076508,132.2687988,274.6091003,263.3865051
195,bottle,0.582703531,208.6923218,117.7387924,249.5692139,273.3894043
196,bottle,0.52017045,262.9370117,143.5296631,302.1853027,257.1151123
197,bottle,0.434454918,160.3010101,0,351.0075073,496.1281433
198,bottle,0.421528101,565.4318237,156.8905029,929.4454956,1261.609131
199,bottle,0.332960725,320.581604,224.7954407,637.5280151,1200.781372
200,bottle,0.442316711,627.0699463,268.4395752,945.9523926,1198.739502
201,bottle,0.552929997,538.359375,306.5406799,790.3650513,858.1943359
202,bottle,0.703980327,103.4815903,86.27658844,219.1255798,282.1932983
203,bottle,0.642986774,236.6076508,132.2687988,274.6091003,263.3865051
204,bottle,0.582703531,208.6923218,117.7387924,249.5692139,273.3894043
205,bottle,0.52017045,262.9370117,143.5296631,302.1853027,257.1151123
206,bottle,0.434454918,160.3010101,0,351.0075073,496.1281433
207,bottle,0.421528101,565.4318237,156.8905029,929.4454956,1261.609131
208,bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
209,bottle,0.332960725,320.581604,224.7954407,637.5280151,1200.781372
210,bottle,0.442316711,627.0699463,268.4395752,945.9523926,1198.739502
211,bottle,0.552929997,538.359375,306.5406799,790.3650513,858.1943359
212,bottle,0.703980327,103.4815903,86.27658844,219.1255798,282.1932983
213,bottle,0.642986774,236.6076508,132.2687988,274.6091003,263.3865051
214,bottle,0.582703531,208.6923218,117.7387924,249.5692139,273.3894043
215,bottle,0.52017045,262.9370117,143.5296631,302.1853027,257.1151123
216,bottle,0.501195967,657.1534424,313.0819702,952.0588379,1231.496094
217,bottle,0.355326921,446.1914063,312.0218506,628.322998,1193.137085
218,bottle,0.421528101,565.4318237,156.8905029,929.4454956,1261.609131
219,bottle,0.410453767,143.2461548,27.1251297,406.1999512,782.4179077
220,bottle,0.703980327,103.4815903,86.27658844,219.1255798,282.1932983
221,bottle,0.642986774,236.6076508,132.2687988,274.6091003,263.3865051
222,bottle,0.582703531,208.6923218,117.7387924,249.5692139,273.3894043
223,bottle,0.52017045,262.9370117,143.5296631,302.1853027,257.1151123
224,bottle,0.434454918,160.3010101,0,351.0075073,496.1281433
225,bottle,0.292580128,349.4625854,84.0151825,677.1919556,931.6661377
226,bottle,0.332960725,320.581604,224.7954407,637.5280151,1200.781372
227,bottle,0.442316711,627.0699463,268.4395752,945.9523926,1198.739502
228,bottle,0.552929997,538.359375,306.5406799,790.3650513,858.1943359
229,bottle,0.703980327,103.4815903,86.27658844,219.1255798,282.1932983
230,bottle,0.642986774,236.6076508,132.2687988,274.6091003,263.3865051
231,bottle,0.582703531,208.6923218,117.7387924,249.5692139,273.3894043
232,bottle,0.52017045,262.9370117,143.5296631,302.1853027,257.1151123
233,bottle,0.434454918,160.3010101,0,351.0075073,496.1281433
234,bottle,0.292580128,349.4625854,84.0151825,677.1919556,931.6661377
235,bottle,0.428630322,456.905365,198.558548,682.0927124,743.7035522
236,bottle,0.335329711,178.5396271,239.6474152,373.3936462,718.3513184
237,bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
238,bottle,0.332960725,320.581604,224.7954407,637.5280151,1200.781372
239,bottle,0.442316711,627.0699463,268.4395752,945.9523926,1198.739502
240,bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
241,bottle,0.434454918,160.3010101,0,351.0075073,496.1281433
242,bottle,0.703980327,103.4815903,86.27658844,219.1255798,282.1932983
243,bottle,0.642986774,236.6076508,132.2687988,274.6091003,263.3865051
244,bottle,0.582703531,208.6923218,117.7387924,249.5692139,273.3894043
245,bottle,0.52017045,262.9370117,143.5296631,302.1853027,257.1151123
246,bottle,0.332960725,320.581604,224.7954407,637.5280151,1200.781372
247,bottle,0.442316711,627.0699463,268.4395752,945.9523926,1198.739502
248,bottle,0.501195967,657.1534424,313.0819702,952.0588379,1231.496094
249,bottle,0.355326921,446.1914063,312.0218506,628.322998,1193.137085
250,bottle,0.428630322,456.905365,198.558548,682.0927124,743.7035522
251,bottle,0.335329711,178.5396271,239.6474152,373.3936462,718.3513184
252,bottle,0.292580128,349.4625854,84.0151825,677.1919556,931.6661377
253,bowl,0.394037098,554.8015137,1093.960693,708.7999268,1203.80542
254,bowl,0.267323732,701.958374,1096.478882,872.8864746,1209.652222
255,bowl,0.438768655,481.0660095,1098.838623,766.0102539,1212.199463
256,bowl,0.394037098,554.8015137,1093.960693,708.7999268,1203.80542
257,bowl,0.267323732,701.958374,1096.478882,872.8864746,1209.652222
258,bowl,0.438768655,481.0660095,1098.838623,766.0102539,1212.199463
259,bowl,0.394037098,554.8015137,1093.960693,708.7999268,1203.80542
260,bowl,0.267323732,701.958374,1096.478882,872.8864746,1209.652222
261,bowl,0.438768655,481.0660095,1098.838623,766.0102539,1212.199463
262,bowl,0.758213699,140.742157,185.9703064,275.1917725,299.8476868
263,bowl,0.394037098,554.8015137,1093.960693,708.7999268,1203.80542
264,bowl,0.267323732,701.958374,1096.478882,872.8864746,1209.652222
265,bowl,0.438768655,481.0660095,1098.838623,766.0102539,1212.199463
266,bowl,0.758213699,140.742157,185.9703064,275.1917725,299.8476868
267,bowl,0.394037098,554.8015137,1093.960693,708.7999268,1203.80542
268,bowl,0.267323732,701.958374,1096.478882,872.8864746,1209.652222
269,bowl,0.438768655,481.0660095,1098.838623,766.0102539,1212.199463
270,bowl,0.758213699,140.742157,185.9703064,275.1917725,299.8476868
271,bowl,0.394037098,554.8015137,1093.960693,708.7999268,1203.80542
272,bowl,0.267323732,701.958374,1096.478882,872.8864746,1209.652222
273,bowl,0.438768655,481.0660095,1098.838623,766.0102539,1212.199463
274,bowl,0.758213699,140.742157,185.9703064,275.1917725,299.8476868
275,bowl,0.758213699,140.742157,185.9703064,275.1917725,299.8476868
276,bowl,0.758213699,140.742157,185.9703064,275.1917725,299.8476868
